"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","573.12859","573.12860","573.12862"
"phnO","","Aminoalkylphosphonate N-acetyltransferase","2","2","1","1","2459","277","1","","422","422","422","","573.12860_04080","573.12862_03683"
"group_1466","","hypothetical protein","2","2","1","1","2453","284","1","","185","185","185","","573.12860_04083","573.12862_03680"
"group_1467","","hypothetical protein","2","2","1","1","1058","245","1","","548","548","548","","573.12860_04151","573.12862_03884"
"group_1468","","hypothetical protein","2","2","1","1","1073","3","41","","479","479","479","","573.12860_04164","573.12862_03871"
"oqxB3","","multidrug efflux RND transporter permease subunit OqxB3","2","2","1","1","1074","3","42","","3152","3152","3152","","573.12860_04165","573.12862_03870"
"group_147","","hypothetical protein","2","2","1","5","156","2","61","","1034","1043","1038","573.12859_02143","573.12860_04378",""
"bepF","","Efflux pump periplasmic linker BepF","2","2","1","1","1075","3","43","","1175","1175","1175","","573.12860_04166","573.12862_03869"
"rob_2","","Right origin-binding protein","2","2","1","1","1076","3","44","","365","365","365","","573.12860_04167","573.12862_03868"
"group_1472","","hypothetical protein","2","2","1","1","1077","3","45","","572","572","572","","573.12860_04168","573.12862_03867"
"group_1473","pgrR_7","HTH-type transcriptional regulator PgrR","2","2","1","1","1078","3","46","","884","884","884","","573.12860_04169","573.12862_03866"
"group_1474","","hypothetical protein","2","2","1","1","1079","3","47","","800","800","800","","573.12860_04170","573.12862_03865"
"group_148","","hypothetical protein","2","2","1","5","168","2","50","","110","110","110","573.12859_02152","573.12860_04364",""
"group_1526","","hypothetical protein","2","2","1","5","164","2","54","","581","584","582","573.12859_02148","573.12860_04368",""
"group_1547","","hypothetical protein","2","2","1","1","784","216","2","","290","290","290","","573.12860_04450","573.12862_04588"
"group_1548","","hypothetical protein","2","2","1","1","783","216","1","","188","188","188","","573.12860_04451","573.12862_04589"
"intA_5","","Prophage integrase IntA","2","2","1","1","361","164","3","","1181","1181","1181","","573.12860_04456","573.12862_04594"
"group_1550","","hypothetical protein","2","2","1","1","362","164","4","","191","191","191","","573.12860_04457","573.12862_04595"
"group_1551","","hypothetical protein","2","2","1","1","363","164","5","","146","146","146","","573.12860_04458","573.12862_04596"
"group_1552","","hypothetical protein","2","2","1","1","364","164","6","","479","479","479","","573.12860_04459","573.12862_04597"
"group_1553","","hypothetical protein","2","2","1","1","365","164","7","","212","212","212","","573.12860_04460","573.12862_04598"
"group_1554","","hypothetical protein","2","2","1","1","366","164","8","","224","224","224","","573.12860_04461","573.12862_04599"
"group_1555","","hypothetical protein","2","2","1","1","367","164","9","","707","707","707","","573.12860_04462","573.12862_04600"
"group_1556","","hypothetical protein","2","2","1","1","368","164","10","","578","578","578","","573.12860_04463","573.12862_04601"
"group_1557","","hypothetical protein","2","2","1","1","369","164","11","","827","827","827","","573.12860_04464","573.12862_04602"
"group_1558","","hypothetical protein","2","2","1","1","370","164","12","","194","194","194","","573.12860_04465","573.12862_04603"
"group_1559","","hypothetical protein","2","2","1","1","371","164","13","","425","425","425","","573.12860_04466","573.12862_04604"
"group_1560","","hypothetical protein","2","2","1","1","372","164","14","","218","218","218","","573.12860_04467","573.12862_04605"
"group_1561","","hypothetical protein","2","2","1","1","373","164","15","","254","254","254","","573.12860_04468","573.12862_04606"
"group_1562","","hypothetical protein","2","2","1","1","374","164","16","","188","188","188","","573.12860_04469","573.12862_04607"
"group_1564","","putative HTH-type transcriptional regulator","2","2","1","1","376","164","17","","668","668","668","","573.12860_04471","573.12862_04608"
"group_1565","","hypothetical protein","2","2","1","1","377","164","18","","221","221","221","","573.12860_04472","573.12862_04609"
"group_1566","","hypothetical protein","2","2","1","1","378","164","19","","1658","1658","1658","","573.12860_04473","573.12862_04610"
"group_1567","","hypothetical protein","2","2","1","1","379","164","20","","962","962","962","","573.12860_04474","573.12862_04611"
"group_1568","","hypothetical protein","2","2","1","1","380","164","21","","476","476","476","","573.12860_04475","573.12862_04612"
"group_1569","","hypothetical protein","2","2","1","1","381","164","1","","782","782","782","","573.12860_04476","573.12862_04613"
"group_1570","","hypothetical protein","2","2","1","1","395","171","1","","323","323","323","","573.12860_04479","573.12862_04616"
"group_1571","","hypothetical protein","2","2","1","1","394","171","2","","356","356","356","","573.12860_04480","573.12862_04617"
"group_1572","","hypothetical protein","2","2","1","1","393","171","3","","752","752","752","","573.12860_04481","573.12862_04618"
"group_1573","","putative protein","2","2","1","1","392","171","4","","1400","1400","1400","","573.12860_04482","573.12862_04619"
"group_1574","","hypothetical protein","2","2","1","1","391","171","14","","1451","1451","1451","","573.12860_04483","573.12862_04620"
"group_1575","","hypothetical protein","2","2","1","1","390","171","13","","1202","1202","1202","","573.12860_04484","573.12862_04621"
"group_1576","","hypothetical protein","2","2","1","1","389","171","12","","494","494","494","","573.12860_04485","573.12862_04622"
"group_1577","","hypothetical protein","2","2","1","1","388","171","11","","941","941","941","","573.12860_04486","573.12862_04623"
"group_1578","","hypothetical protein","2","2","1","1","387","171","10","","281","281","281","","573.12860_04487","573.12862_04624"
"group_1579","","hypothetical protein","2","2","1","1","386","171","9","","419","419","419","","573.12860_04488","573.12862_04625"
"group_1580","","hypothetical protein","2","2","1","1","385","171","8","","506","506","506","","573.12860_04489","573.12862_04626"
"group_1581","","hypothetical protein","2","2","1","1","384","171","7","","386","386","386","","573.12860_04490","573.12862_04627"
"group_1582","","hypothetical protein","2","2","1","1","383","171","6","","440","440","440","","573.12860_04491","573.12862_04628"
"group_1583","","hypothetical protein","2","2","1","1","382","171","5","","1145","1145","1145","","573.12860_04492","573.12862_04629"
"group_1584","","hypothetical protein","2","2","1","1","2790","197","4","","3410","3410","3410","","573.12860_04535","573.12862_02722"
"group_1585","","hypothetical protein","2","2","1","1","2789","197","3","","1157","1157","1157","","573.12860_04536","573.12862_02723"
"group_1586","","hypothetical protein","2","2","1","1","2788","197","2","","266","266","266","","573.12860_04537","573.12862_02724"
"group_1587","","hypothetical protein","2","2","1","1","2787","197","1","","200","200","200","","573.12860_04538","573.12862_02725"
"group_1616","","hypothetical protein","2","2","1","1","2064","222","1","","947","947","947","","573.12860_04646","573.12862_05007"
"pdeB_2","","putative cyclic di-GMP phosphodiesterase PdeB","2","2","1","1","2066","222","2","","836","836","836","","573.12860_04648","573.12862_05074"
"group_1619","","IS3 family transposase ISEcl1","2","2","1","1","2071","176","21","","881","881","881","","573.12860_04653","573.12862_05147"
"group_1620","silE_2","Silver-binding protein SilE","2","2","1","1","1978","282","1","","431","431","431","","573.12860_04657","573.12862_04423"
"pcoE","","putative copper-binding protein PcoE","2","2","1","1","2009","175","9","","434","434","434","","573.12860_04675","573.12862_04405"
"group_1622","","ISL3 family transposase ISEc38","2","2","1","1","2010","175","10","","650","650","650","","573.12860_04676","573.12862_04404"
"group_1623","","ISL3 family transposase ISEc38","2","2","1","1","2011","175","11","","815","815","815","","573.12860_04677","573.12862_04403"
"aqpZ_2","","Aquaporin Z","2","2","1","1","2012","175","12","","404","404","404","","573.12860_04678","573.12862_04402"
"group_1625","","hypothetical protein","2","2","1","1","2013","175","8","","326","326","326","","573.12860_04679","573.12862_04401"
"arsH","","NADPH-dependent FMN reductase ArsH","2","2","1","1","2014","175","7","","713","713","713","","573.12860_04680","573.12862_04400"
"sigL","","ECF RNA polymerase sigma factor SigL","2","2","1","1","2015","175","6","","545","545","545","","573.12860_04681","573.12862_04399"
"arsD_2","","Arsenical resistance operon trans-acting repressor ArsD","2","2","1","1","2016","175","5","","362","362","362","","573.12860_04682","573.12862_04398"
"arsA_1","","Arsenical pump-driving ATPase","2","2","1","1","2017","175","4","","1340","1340","1340","","573.12860_04683","573.12862_04397"
"arsA_2","","Arsenical pump-driving ATPase","2","2","1","1","2018","175","3","","473","473","473","","573.12860_04684","573.12862_04396"
"yncA","","L-methionine sulfoximine/L-methionine sulfone acetyltransferase","2","2","1","1","2019","175","2","","536","536","536","","573.12860_04685","573.12862_04395"
"arsC_2","","Arsenate reductase","2","2","1","1","2020","175","1","","425","425","425","","573.12860_04686","573.12862_04394"
"arsA_3","","Arsenical pump-driving ATPase","2","2","1","1","2022","200","1","","1751","1751","1751","","573.12860_04688","573.12862_04392"
"arsD_1","","Arsenical resistance operon trans-acting repressor ArsD","2","2","1","1","2023","200","2","","362","362","362","","573.12860_04689","573.12862_04391"
"group_1635","","hypothetical protein","2","2","1","1","2024","200","4","","350","350","350","","573.12860_04690","573.12862_04390"
"group_1636","","hypothetical protein","2","2","1","1","183","254","1","","116","116","116","","573.12860_04720","573.12862_02264"
"group_1637","","hypothetical protein","2","2","1","5","215","215","1","","239","239","239","","573.12860_04789","573.12862_01202"
"group_1638","","hypothetical protein","2","2","1","5","216","215","2","","317","317","317","","573.12860_04790","573.12862_01203"
"fabG_10","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","2","2","1","13","37","199","1","","677","677","677","","573.12860_04851","573.12862_04490"
"yhcH","","putative protein YhcH","2","2","1","13","38","199","2","","473","473","473","","573.12860_04852","573.12862_04491"
"group_1641","","hypothetical protein","2","2","1","13","39","199","4","","1166","1166","1166","","573.12860_04853","573.12862_04492"
"actP_2","","Cation/acetate symporter ActP","2","2","1","13","40","199","3","","1409","1409","1409","","573.12860_04854","573.12862_04493"
"group_1643","","hypothetical protein","2","2","1","1","2377","198","1","","377","377","377","","573.12860_04884","573.12862_04748"
"ykoT","","putative glycosyltransferase YkoT","2","2","1","1","2378","198","2","","980","980","980","","573.12860_04885","573.12862_04749"
"group_1645","","hypothetical protein","2","2","1","1","2379","198","3","","1460","1460","1460","","573.12860_04886","573.12862_04750"
"group_1646","","hypothetical protein","2","2","1","1","2380","198","4","","1208","1208","1208","","573.12860_04887","573.12862_04751"
"ydjE_2","","Inner membrane metabolite transport protein YdjE","2","2","1","1","1511","183","8","","1358","1358","1358","","573.12860_04934","573.12862_04708"
"ydjF_2","","putative HTH-type transcriptional regulator YdjF","2","2","1","1","1510","183","7","","758","758","758","","573.12860_04935","573.12862_04709"
"ydjG","","NADH-specific methylglyoxal reductase","2","2","1","1","1509","183","6","","983","983","983","","573.12860_04936","573.12862_04710"
"ydjH_2","","putative sugar kinase YdjH","2","2","1","1","1508","183","5","","947","947","947","","573.12860_04937","573.12862_04711"
"ydjI","","putative protein YdjI","2","2","1","1","1507","183","4","","836","836","836","","573.12860_04938","573.12862_04712"
"ydjJ","","putative zinc-type alcohol dehydrogenase-like protein YdjJ","2","2","1","1","1506","183","3","","1043","1043","1043","","573.12860_04939","573.12862_04713"
"ydjE_3","","Inner membrane metabolite transport protein YdjE","2","2","1","1","1505","183","2","","1379","1379","1379","","573.12860_04940","573.12862_04714"
"group_1658","","D-arabitol-phosphate dehydrogenase","2","2","1","1","1504","183","1","","1076","1076","1076","","573.12860_04941","573.12862_04715"
"finO","","Fertility inhibition protein","2","2","1","12","65","8","9","","593","593","593","","573.12860_04965","573.12862_04548"
"group_1667","","hypothetical protein","2","2","1","12","78","202","2","","326","326","326","","573.12860_04978","573.12862_04535"
"group_1668","","hypothetical protein","2","2","1","12","79","202","3","","266","266","266","","573.12860_04979","573.12862_04534"
"group_1669","","hypothetical protein","2","2","1","12","80","202","1","","254","254","254","","573.12860_04980","573.12862_04533"
"group_1680","","hypothetical protein","2","2","1","12","31","7","19","","350","350","350","","573.12860_05006","573.12862_05134"
"group_1693","","hypothetical protein","2","2","1","6","39","229","2","","494","494","494","","573.12860_05065","573.12862_04836"
"fimC_2","","Chaperone protein FimC","2","2","1","6","40","229","1","","686","686","686","","573.12860_05066","573.12862_04837"
"group_1695","","hypothetical protein","2","2","1","6","35","191","4","","1034","1034","1034","","573.12860_05068","573.12862_04839"
"group_1696","","hypothetical protein","2","2","1","6","34","191","5","","365","365","365","","573.12860_05069","573.12862_04840"
"group_1697","","hypothetical protein","2","2","1","6","33","191","6","","368","368","368","","573.12860_05070","573.12862_04841"
"cvaA","","Colicin V secretion protein CvaA","2","2","1","6","32","191","3","","1286","1286","1286","","573.12860_05071","573.12862_04842"
"hlyB","","Alpha-hemolysin translocation ATP-binding protein HlyB","2","2","1","6","31","191","2","","2123","2123","2123","","573.12860_05072","573.12862_04843"
"group_17","","hypothetical protein","2","2","1","4","87","257","1","","842","842","842","","573.12860_03715","573.12862_03749"
"group_1700","","hypothetical protein","2","2","1","6","30","191","1","","863","863","863","","573.12860_05073","573.12862_04844"
"intA_4","","Prophage integrase IntA","2","2","1","6","217","166","9","","1262","1262","1262","","573.12860_05087","573.12862_05089"
"group_1702","","hypothetical protein","2","2","1","6","218","166","10","","953","953","953","","573.12860_05088","573.12862_05090"
"group_1703","","hypothetical protein","2","2","1","6","219","166","11","","536","536","536","","573.12860_05089","573.12862_05091"
"group_1704","","hypothetical protein","2","2","1","6","220","166","12","","1079","1079","1079","","573.12860_05090","573.12862_05092"
"group_1705","","hypothetical protein","2","2","1","6","223","166","15","","737","737","737","","573.12860_05093","573.12862_04954"
"group_1706","","hypothetical protein","2","2","1","6","216","166","18","","227","227","227","","573.12860_05096","573.12862_04957"
"group_1707","","hypothetical protein","2","2","1","6","214","166","7","","2333","2333","2333","","573.12860_05098","573.12862_04959"
"group_1708","","IS3 family transposase IS1400","2","2","1","6","213","166","6","","266","266","266","","573.12860_05099","573.12862_04960"
"group_1709","","IS3 family transposase IS1400","2","2","1","6","212","166","5","","479","479","479","","573.12860_05100","573.12862_04961"
"hcpA_4","","Major exported protein","2","2","1","6","211","166","4","","479","479","479","","573.12860_05101","573.12862_04962"
"group_1711","","hypothetical protein","2","2","1","6","210","166","3","","347","347","347","","573.12860_05102","573.12862_04963"
"group_1712","","hypothetical protein","2","2","1","6","209","166","2","","674","674","674","","573.12860_05103","573.12862_04964"
"group_1713","","hypothetical protein","2","2","1","6","208","166","1","","869","869","869","","573.12860_05104","573.12862_04965"
"group_1742","","hypothetical protein","2","2","1","18","21","273","1","","485","485","485","","573.12860_05160","573.12862_04902"
"group_1743","","hypothetical protein","2","2","1","17","40","160","14","","146","146","146","","573.12860_05198","573.12862_04671"
"group_1744","","hypothetical protein","2","2","1","17","41","160","15","","278","278","278","","573.12860_05199","573.12862_04670"
"group_1745","","hypothetical protein","2","2","1","17","42","160","16","","275","275","275","","573.12860_05200","573.12862_04669"
"group_1746","","hypothetical protein","2","2","1","17","43","160","17","","254","254","254","","573.12860_05201","573.12862_04668"
"group_1747","","hypothetical protein","2","2","1","17","44","160","18","","821","821","821","","573.12860_05202","573.12862_04667"
"group_1748","","hypothetical protein","2","2","1","17","45","160","19","","650","650","650","","573.12860_05203","573.12862_04666"
"stpA_2","","DNA-binding protein StpA","2","2","1","17","46","160","20","","455","455","455","","573.12860_05204","573.12862_04665"
"topB_2","","DNA topoisomerase 3","2","2","1","17","47","160","21","","2327","2327","2327","","573.12860_05205","573.12862_04664"
"mpa","","Proteasome-associated ATPase","2","2","1","17","48","160","22","","1262","1262","1262","","573.12860_05206","573.12862_04663"
"virD4","","Protein VirD4","2","2","1","17","32","160","24","","1835","1835","1835","","573.12860_05208","573.12862_04661"
"ptlH","","Type IV secretion system protein PtlH","2","2","1","17","31","160","25","","1034","1034","1034","","573.12860_05209","573.12862_04660"
"group_1754","","hypothetical protein","2","2","1","17","30","160","26","","1214","1214","1214","","573.12860_05210","573.12862_04659"
"group_178","","hypothetical protein","2","2","1","1","153","24","4","","104","104","104","573.12859_02975","","573.12862_04881"
"rrrD_1","","Lysozyme RrrD","2","2","1","1","709","159","34","","530","530","530","","573.12860_00613","573.12862_01173"
"group_1812","","hypothetical protein","2","2","1","1","2043","279","1","","197","197","197","","573.12860_05311","573.12862_04374"
"group_1813","","IS3 family transposase ISKpn38","2","2","1","1","2046","251","1","","305","305","305","","573.12860_05314","573.12862_04377"
"group_1814","","hypothetical protein","2","2","1","1","2035","218","1","","137","137","137","","573.12860_05316","573.12862_04379"
"group_1815","","ISNCY family transposase ISLad2","2","2","1","1","2034","218","2","","1358","1358","1358","","573.12860_05317","573.12862_04380"
"group_1816","","hypothetical protein","2","2","1","1","2031","30","2","","254","254","254","","573.12860_05320","573.12862_04383"
"group_1817","","hypothetical protein","2","2","1","1","2030","30","3","","257","257","257","","573.12860_05321","573.12862_04384"
"group_1818","ymoA","Modulating protein YmoA","2","2","1","1","2029","30","4","","203","203","203","","573.12860_05322","573.12862_04385"
"group_1819","","hypothetical protein","2","2","1","50","9","169","8","","326","326","326","","573.12860_05335","573.12862_05021"
"group_1820","","hypothetical protein","2","2","1","50","10","169","9","","728","728","728","","573.12860_05336","573.12862_05020"
"psiB","","Protein PsiB","2","2","1","50","11","169","10","","431","431","431","","573.12860_05337","573.12862_05019"
"noc","","Nucleoid occlusion protein","2","2","1","50","12","169","11","","2036","2057","2046","","573.12860_05338","573.12862_05018"
"group_1823","","hypothetical protein","2","2","1","50","15","169","14","","563","563","563","","573.12860_05341","573.12862_05015"
"group_1824","","hypothetical protein","2","2","1","50","6","169","6","","230","230","230","","573.12860_05343","573.12862_05013"
"group_1825","","hypothetical protein","2","2","1","50","5","169","5","","227","227","227","","573.12860_05344","573.12862_05012"
"group_1826","","hypothetical protein","2","2","1","50","4","169","4","","317","317","317","","573.12860_05345","573.12862_05011"
"group_1827","","hypothetical protein","2","2","1","50","3","169","3","","254","254","254","","573.12860_05346","573.12862_05010"
"klcA_4","","Antirestriction protein KlcA","2","2","1","50","2","169","2","","425","425","425","","573.12860_05347","573.12862_05009"
"group_1829","","hypothetical protein","2","2","1","50","1","169","1","","230","230","230","","573.12860_05348","573.12862_05008"
"cim","","Cloacin immunity protein","2","2","1","53","9","179","2","","257","257","257","","573.12860_05358","573.12862_05119"
"group_1831","","hypothetical protein","2","2","1","53","10","179","3","","128","128","128","","573.12860_05359","573.12862_05120"
"group_1832","","hypothetical protein","2","2","1","53","11","179","4","","1964","1964","1964","","573.12860_05360","573.12862_05116"
"group_1833","","hypothetical protein","2","2","1","53","7","179","5","","731","731","731","","573.12860_05361","573.12862_05117"
"group_1834","","hypothetical protein","2","2","1","53","6","179","6","","530","530","530","","573.12860_05362","573.12862_05122"
"rop","","Regulatory protein rop","2","2","1","53","5","179","7","","179","179","179","","573.12860_05363","573.12862_05123"
"group_1836","","hypothetical protein","2","2","1","53","4","179","8","","377","377","377","","573.12860_05364","573.12862_05124"
"group_1837","","hypothetical protein","2","2","1","53","3","179","11","","299","299","299","","573.12860_05365","573.12862_05125"
"group_1838","","hypothetical protein","2","2","1","53","2","179","10","","263","263","263","","573.12860_05366","573.12862_05126"
"group_1840","","hypothetical protein","2","2","1","52","12","172","1","","773","773","773","","573.12860_05368","573.12862_05066"
"group_1841","","hypothetical protein","2","2","1","52","13","172","2","","1196","1196","1196","","573.12860_05369","573.12862_05065"
"group_1842","","hypothetical protein","2","2","1","52","11","172","3","","353","353","353","","573.12860_05370","573.12862_05064"
"group_1843","","hypothetical protein","2","2","1","52","10","172","4","","653","653","653","","573.12860_05371","573.12862_05063"
"group_1844","","hypothetical protein","2","2","1","52","9","172","5","","566","566","566","","573.12860_05372","573.12862_05062"
"group_1845","","hypothetical protein","2","2","1","52","8","172","6","","185","185","185","","573.12860_05373","573.12862_05061"
"group_1846","","hypothetical protein","2","2","1","52","7","172","7","","341","341","341","","573.12860_05374","573.12862_05060"
"group_1847","","hypothetical protein","2","2","1","52","6","172","8","","1022","1022","1022","","573.12860_05375","573.12862_05059"
"group_1848","","hypothetical protein","2","2","1","52","5","172","9","","302","302","302","","573.12860_05376","573.12862_05058"
"group_1849","","hypothetical protein","2","2","1","52","4","172","10","","599","599","599","","573.12860_05377","573.12862_05057"
"group_1850","","hypothetical protein","2","2","1","52","3","172","13","","2003","2003","2003","","573.12860_05378","573.12862_05056"
"group_1851","","hypothetical protein","2","2","1","52","2","172","12","","152","152","152","","573.12860_05379","573.12862_05055"
"group_1852","","hypothetical protein","2","2","1","52","1","172","11","","425","425","425","","573.12860_05380","573.12862_05054"
"group_1862","","IS200/IS605 family transposase IS609","2","2","1","1","2055","205","1","","857","857","857","","573.12860_05393","573.12862_05001"
"umuD_4","","Protein UmuD","2","2","1","1","2053","307","1","","425","425","425","","573.12860_05395","573.12862_04999"
"cmpR_4","","HTH-type transcriptional activator CmpR","2","2","1","56","2","189","5","","869","869","869","","573.12860_05403","573.12862_05086"
"ptxD","","Phosphonate dehydrogenase","2","2","1","56","3","189","6","","1010","1010","1010","","573.12860_05404","573.12862_05085"
"phnE","","Phosphate-import permease protein PhnE","2","2","1","56","4","189","7","","827","827","827","","573.12860_05405","573.12862_05084"
"ptxB","","putative phosphite transport system-binding protein PtxB","2","2","1","56","8","189","8","","863","863","863","","573.12860_05406","573.12862_05083"
"glnQ_8","","Glutamine transport ATP-binding protein GlnQ","2","2","1","56","7","189","3","","827","827","827","","573.12860_05407","573.12862_05082"
"srpC","","putative chromate transport protein","2","2","1","16","33","4","27","","1205","1205","1205","","573.12860_05409","573.12862_04328"
"group_1875","","Transcriptional regulator","2","2","1","16","32","4","26","","305","305","305","","573.12860_05410","573.12862_04327"
"group_1876","","IS6 family transposase IS6100","2","2","1","16","31","4","25","","764","764","764","","573.12860_05411","573.12862_04326"
"group_1877","","hypothetical protein","2","2","1","16","30","4","24","","584","584","584","","573.12860_05412","573.12862_04325"
"tap","","Multidrug efflux pump Tap","2","2","1","16","29","4","23","","1238","1238","1238","","573.12860_05413","573.12862_04324"
"group_1879","","hypothetical protein","2","2","1","16","28","4","22","","905","905","905","","573.12860_05414","573.12862_04323"
"xerC_6","","Tyrosine recombinase XerC","2","2","1","16","39","4","33","","1013","1013","1013","","573.12860_05418","573.12862_04334"
"group_1881","","IS1595 family transposase ISSsu9","2","2","1","16","38","4","32","","497","497","497","","573.12860_05419","573.12862_04333"
"ant1","","Streptomycin 3''-adenylyltransferase","2","2","1","16","37","4","31","","779","779","779","","573.12860_05420","573.12862_04332"
"emrE","","Multidrug transporter EmrE","2","2","1","16","36","4","30","","347","347","347","","573.12860_05421","573.12862_04331"
"folP_2","","Dihydropteroate synthase","2","2","1","16","35","4","29","","839","839","839","","573.12860_05422","573.12862_04330"
"bla_1","","Beta-lactamase SHV-2","2","2","1","24","1","271","1","","860","860","860","","573.12860_05452","573.12862_05109"
"group_1902","","Tn3 family transposase ISSba14","2","2","1","65","1","223","1","Investigate","1265","1265","1265","","573.12860_05475","573.12862_05139"
"group_1903","","hypothetical protein","2","2","1","1","355","193","6","","731","731","731","","573.12860_05477","573.12862_04951"
"group_1904","","IS3 family transposase ISKpn18","2","2","1","62","1","228","2","Investigate","878","878","878","","573.12860_05480","573.12862_05149"
"group_1905","","IS3 family transposase ISKpn18","2","2","1","62","2","228","1","Investigate","317","317","317","","573.12860_05481","573.12862_05150"
"group_1907","","hypothetical protein","2","2","1","64","2","213","1","Investigate","197","197","197","","573.12860_05485","573.12862_05138"
"group_1909","","hypothetical protein","2","2","1","1","735","231","1","","107","107","107","","573.12860_05488","573.12862_05080"
"group_1910","","hypothetical protein","2","2","1","61","1","221","1","Investigate","221","221","221","","573.12860_05491","573.12862_05156"
"group_1912","","hypothetical protein","2","2","1","1","353","193","4","","731","731","731","","573.12860_05493","573.12862_05146"
"cdhR_2","","HTH-type transcriptional regulator CdhR","2","2","1","1","2471","192","6","","1034","1055","1044","","573.12860_04064","573.12862_03699"
"group_20","","hypothetical protein","2","2","1","1","1611","1","48","","731","845","788","573.12859_01025","573.12860_02886",""
"group_2018","","hypothetical protein","2","2","1","17","39","160","13","","95","95","95","","573.12860_05197","573.12862_04672"
"group_21","","hypothetical protein","2","2","1","1","687","159","12","","845","845","845","","573.12860_00636","573.12862_01150"
"group_221","","hypothetical protein","2","2","1","11","24","145","1","","899","998","948","573.12859_04133","573.12860_05237",""
"group_222","","IS3 family transposase ISKpn1","2","2","1","1","1902","127","1","","602","785","693","573.12859_04149","","573.12862_05141"
"group_2253","","hypothetical protein","2","2","1","1","693","159","18","","221","221","221","","573.12860_00630","573.12862_01156"
"group_231","","hypothetical protein","2","2","1","1","1098","3","7","","485","485","485","573.12859_04453","573.12860_04611",""
"group_238","","hypothetical protein","2","2","1","1","1163","3","36","","1754","1754","1754","573.12859_04478","573.12860_04587",""
"dam_2","","DNA adenine methylase","2","2","1","1","1147","3","65","","851","851","851","573.12859_04485","573.12860_04179",""
"ybiI_3","","putative protein YbiI","2","2","1","1","1146","3","58","","227","227","227","573.12859_04486","573.12860_04178",""
"group_241","","hypothetical protein","2","2","1","1","1142","3","55","","509","509","509","573.12859_04490","573.12860_04175",""
"group_242","","hypothetical protein","2","2","1","1","1139","3","54","","206","242","224","573.12859_04491","573.12860_04174",""
"xerC_2","","Tyrosine recombinase XerC","2","2","1","1","1137","3","52","","1022","1025","1023","573.12859_04493","573.12860_04172",""
"traM","","Relaxosome protein TraM","2","2","1","12","133","66","2","","392","392","392","573.12859_04575","","573.12862_04512"
"group_246","","hypothetical protein","2","2","1","12","102","46","2","","431","572","501","573.12859_04582","573.12860_04991",""
"group_248","","hypothetical protein","2","2","1","12","94","41","1","","317","338","327","573.12859_04587","","573.12862_04523"
"group_249","","hypothetical protein","2","2","1","12","93","41","2","","404","404","404","573.12859_04588","","573.12862_04524"
"tdcE","","PFL-like enzyme TdcE","2","2","1","1","2129","78","1","","509","2300","1404","573.12859_02088","573.12860_02028",""
"group_250","","hypothetical protein","2","2","1","12","91","41","4","","392","392","392","573.12859_04590","","573.12862_04525"
"traI","","Multifunctional conjugation protein TraI","2","2","1","12","67","148","1","","5261","5261","5261","573.12859_04608","","573.12862_04546"
"group_256","","hypothetical protein","2","2","1","12","52","8","19","","308","311","309","573.12859_04614","","573.12862_04552"
"tdcE_2","","PFL-like enzyme TdcE","2","2","1","1","2127","78","2","","1814","2300","2057","573.12859_02089","","573.12862_01822"
"yadV_1","","putative fimbrial chaperone YadV","2","2","1","2","250","5","29","","668","701","684","573.12859_04809","573.12860_02057",""
"group_28","","hypothetical protein","2","2","1","5","180","2","44","","341","923","632","573.12859_02165","573.12860_05331",""
"group_285","","hypothetical protein","2","2","1","1","2028","30","5","","368","368","368","573.12859_05093","","573.12862_04386"
"xerC_7","","Tyrosine recombinase XerC","2","2","1","27","4","35","4","","539","794","666","573.12859_05179","573.12860_05438",""
"group_292","","Zinc-type alcohol dehydrogenase-like protein","2","2","1","16","4","4","4","","935","1010","972","573.12859_05185","","573.12862_04366"
"group_293","","IS1 family transposase IS1D","2","2","1","16","45","4","39","","275","275","275","573.12859_05222","","573.12862_04340"
"group_294","","hypothetical protein","2","2","1","12","22","7","9","","350","350","350","573.12859_05238","573.12860_05015",""
"group_295","","hypothetical protein","2","2","1","16","50","4","44","","347","347","347","573.12859_05243","","573.12862_04345"
"pdeG","","putative cyclic di-GMP phosphodiesterase PdeG","2","2","1","1","1317","214","1","","575","620","597","","573.12860_00162","573.12862_00870"
"group_301","","hypothetical protein","2","2","1","1","1100","194","6","","590","2951","1770","","573.12860_00296","573.12862_04151"
"group_302","","hypothetical protein","2","2","1","1","2079","176","13","","1133","1139","1136","","573.12860_00568","573.12862_04921"
"group_303","","hypothetical protein","2","2","1","1","707","159","32","","689","689","689","","573.12860_00616","573.12862_01170"
"group_307","","hypothetical protein","2","2","1","1","466","178","8","","245","245","245","","573.12860_00856","573.12862_04213"
"group_308","","hypothetical protein","2","2","1","6","222","166","14","","245","245","245","","573.12860_05092","573.12862_04953"
"group_309","","hypothetical protein","2","2","1","1","464","178","6","","266","266","266","","573.12860_00858","573.12862_04215"
"group_310","","hypothetical protein","2","2","1","6","224","166","16","","266","266","266","","573.12860_05094","573.12862_04955"
"group_311","","hypothetical protein","2","2","1","1","2098","180","8","","1232","1280","1256","","573.12860_02056","573.12862_01850"
